9.1143e-09, 9.3103e-09, 5.39422e-09, 3.04926e-09, 1.67947e-09, 9.00294e-10, 4.69542e-10, 2.38613e-10, 1.18857e-10, 5.8964e-11, 3.01884e-11, 1.69852e-11, 1.12626e-11, 8.97962e-12, 8.20753e-12, 8.07011e-12, 8.19058e-12, 8.41675e-12, 8.69175e-12, 8.99672e-12, 
1.41646e-08, 1.44692e-08, 1.16055e-08, 7.57941e-09, 4.17506e-09, 2.07389e-09, 1.00087e-09, 4.83606e-10, 2.3246e-10, 1.10692e-10, 5.29607e-11, 2.65544e-11, 1.50302e-11, 1.03089e-11, 8.56195e-12, 8.05503e-12, 8.04252e-12, 8.2224e-12, 8.48063e-12, 8.7782e-12, 
2.2819e-08, 2.33097e-08, 1.6634e-08, 1.03946e-08, 5.72735e-09, 2.90959e-09, 1.43636e-09, 7.02558e-10, 3.38509e-10, 1.60043e-10, 7.49294e-11, 3.58377e-11, 1.86951e-11, 1.16036e-11, 8.90747e-12, 8.04053e-12, 7.89834e-12, 8.03297e-12, 8.27477e-12, 8.56511e-12, 
3.12e-08, 3.1871e-08, 2.15133e-08, 1.31244e-08, 7.23117e-09, 3.71916e-09, 1.85858e-09, 9.15016e-10, 4.41477e-10, 2.07985e-10, 9.62814e-11, 4.48657e-11, 2.22618e-11, 1.28645e-11, 9.2443e-12, 8.02659e-12, 7.75792e-12, 7.84836e-12, 8.07403e-12, 8.35733e-12, 
3.93167e-08, 4.01622e-08, 2.62429e-08, 1.57716e-08, 8.68997e-09, 4.50478e-09, 2.26845e-09, 1.12134e-09, 5.41511e-10, 2.5458e-10, 1.17042e-10, 5.36478e-11, 2.57332e-11, 1.40926e-11, 9.57266e-12, 8.01317e-12, 7.62117e-12, 7.66844e-12, 7.87829e-12, 8.15472e-12, 
4.71771e-08, 4.81916e-08, 3.08278e-08, 1.83387e-08, 1.01051e-08, 5.26716e-09, 2.66635e-09, 1.32172e-09, 6.38702e-10, 2.9987e-10, 1.3723e-10, 6.21915e-11, 2.91121e-11, 1.52886e-11, 9.89276e-12, 8.00027e-12, 7.48798e-12, 7.49308e-12, 7.68742e-12, 7.95716e-12, 
5.4789e-08, 5.59673e-08, 3.52724e-08, 2.08283e-08, 1.1478e-08, 6.00702e-09, 3.05265e-09, 1.51633e-09, 7.33135e-10, 3.43892e-10, 1.56861e-10, 7.05033e-11, 3.24009e-11, 1.64535e-11, 1.02048e-11, 7.98787e-12, 7.35828e-12, 7.32218e-12, 7.50131e-12, 7.76451e-12, 
6.21605e-08, 6.34973e-08, 3.9581e-08, 2.32425e-08, 1.28098e-08, 6.72504e-09, 3.42769e-09, 1.70534e-09, 8.24888e-10, 3.86683e-10, 1.75952e-10, 7.85898e-11, 3.56022e-11, 1.7588e-11, 1.05089e-11, 7.97594e-12, 7.23196e-12, 7.15561e-12, 7.31983e-12, 7.57667e-12, 
6.92989e-08, 7.07892e-08, 4.37578e-08, 2.55837e-08, 1.41019e-08, 7.42184e-09, 3.79179e-09, 1.88892e-09, 9.1404e-10, 4.28279e-10, 1.94517e-10, 8.64572e-11, 3.87182e-11, 1.86929e-11, 1.08054e-11, 7.96447e-12, 7.10895e-12, 6.99328e-12, 7.14287e-12, 7.3935e-12, 
7.62117e-08, 7.78506e-08, 4.78068e-08, 2.78542e-08, 1.53553e-08, 8.09808e-09, 4.14528e-09, 2.06722e-09, 1.00066e-09, 4.68712e-10, 2.12571e-10, 9.41115e-11, 4.17512e-11, 1.9769e-11, 1.10945e-11, 7.95345e-12, 6.98914e-12, 6.83506e-12, 6.97032e-12, 7.21489e-12, 
8.29059e-08, 8.46888e-08, 5.17319e-08, 3.0056e-08, 1.65712e-08, 8.75435e-09, 4.48846e-09, 2.24039e-09, 1.08483e-09, 5.08015e-10, 2.30128e-10, 1.01558e-10, 4.47035e-11, 2.0817e-11, 1.13762e-11, 7.94286e-12, 6.87247e-12, 6.68087e-12, 6.80206e-12, 7.04073e-12, 
8.93885e-08, 9.13108e-08, 5.55369e-08, 3.21913e-08, 1.77509e-08, 9.39125e-09, 4.82165e-09, 2.40858e-09, 1.16662e-09, 5.4622e-10, 2.47202e-10, 1.08804e-10, 4.75772e-11, 2.18377e-11, 1.16508e-11, 7.93269e-12, 6.75884e-12, 6.53059e-12, 6.63799e-12, 6.8709e-12, 
9.56662e-08, 9.77235e-08, 5.92255e-08, 3.4262e-08, 1.88952e-08, 1.00093e-08, 5.14513e-09, 2.57194e-09, 1.24608e-09, 5.83358e-10, 2.63806e-10, 1.15853e-10, 5.03745e-11, 2.28318e-11, 1.19185e-11, 7.92291e-12, 6.64818e-12, 6.38412e-12, 6.47801e-12, 6.70531e-12, 
1.01745e-07, 1.03933e-07, 6.28013e-08, 3.62701e-08, 2.00054e-08, 1.06092e-08, 5.45918e-09, 2.73061e-09, 1.32329e-09, 6.19458e-10, 2.79953e-10, 1.22711e-10, 5.30972e-11, 2.38e-11, 1.21794e-11, 7.91352e-12, 6.54041e-12, 6.24137e-12, 6.32201e-12, 6.54384e-12, 
1.07632e-07, 1.09947e-07, 6.62676e-08, 3.82175e-08, 2.10824e-08, 1.11913e-08, 5.76409e-09, 2.88471e-09, 1.39831e-09, 6.5455e-10, 2.95656e-10, 1.29383e-10, 5.57475e-11, 2.47429e-11, 1.24337e-11, 7.9045e-12, 6.43545e-12, 6.10225e-12, 6.1699e-12, 6.38639e-12, 
1.13333e-07, 1.15771e-07, 6.96278e-08, 4.0106e-08, 2.21273e-08, 1.17563e-08, 6.06011e-09, 3.03439e-09, 1.47121e-09, 6.88662e-10, 3.10927e-10, 1.35875e-10, 5.83273e-11, 2.56612e-11, 1.26817e-11, 7.89584e-12, 6.33323e-12, 5.96666e-12, 6.02157e-12, 6.23286e-12, 
1.18854e-07, 1.2141e-07, 7.28853e-08, 4.19375e-08, 2.31409e-08, 1.23046e-08, 6.3475e-09, 3.17976e-09, 1.54204e-09, 7.21821e-10, 3.25778e-10, 1.42191e-10, 6.08384e-11, 2.65556e-11, 1.29233e-11, 7.88753e-12, 6.23369e-12, 5.83451e-12, 5.87694e-12, 6.08315e-12, 
1.242e-07, 1.26871e-07, 7.6043e-08, 4.37136e-08, 2.41242e-08, 1.28367e-08, 6.62652e-09, 3.32095e-09, 1.61087e-09, 7.54053e-10, 3.4022e-10, 1.48336e-10, 6.32826e-11, 2.74266e-11, 1.31589e-11, 7.87955e-12, 6.13674e-12, 5.70572e-12, 5.73591e-12, 5.93717e-12, 
1.29377e-07, 1.32159e-07, 7.91042e-08, 4.54359e-08, 2.50781e-08, 1.33531e-08, 6.89741e-09, 3.45809e-09, 1.67774e-09, 7.85385e-10, 3.54265e-10, 1.54315e-10, 6.56619e-11, 2.8275e-11, 1.33885e-11, 7.87189e-12, 6.04233e-12, 5.5802e-12, 5.59839e-12, 5.79483e-12, 
1.34391e-07, 1.37281e-07, 8.20716e-08, 4.71062e-08, 2.60035e-08, 1.38542e-08, 7.16041e-09, 3.59128e-09, 1.74272e-09, 8.15842e-10, 3.67923e-10, 1.60131e-10, 6.79777e-11, 2.91012e-11, 1.36123e-11, 7.86455e-12, 5.95038e-12, 5.45787e-12, 5.4643e-12, 5.65603e-12, 
1.39246e-07, 1.4224e-07, 8.49482e-08, 4.87261e-08, 2.69013e-08, 1.43406e-08, 7.41575e-09, 3.72065e-09, 1.80585e-09, 8.45449e-10, 3.81206e-10, 1.6579e-10, 7.0232e-11, 2.99058e-11, 1.38304e-11, 7.8575e-12, 5.86084e-12, 5.33864e-12, 5.33354e-12, 5.52069e-12, 
1.43947e-07, 1.47043e-07, 8.77368e-08, 5.02969e-08, 2.77723e-08, 1.48126e-08, 7.66364e-09, 3.84629e-09, 1.8672e-09, 8.74228e-10, 3.94123e-10, 1.71296e-10, 7.24262e-11, 3.06894e-11, 1.4043e-11, 7.85074e-12, 5.77363e-12, 5.22244e-12, 5.20605e-12, 5.38871e-12, 
1.485e-07, 1.51693e-07, 9.044e-08, 5.18203e-08, 2.86172e-08, 1.52707e-08, 7.90432e-09, 3.96833e-09, 1.92681e-09, 9.02203e-10, 4.06685e-10, 1.76653e-10, 7.4562e-11, 3.14526e-11, 1.42503e-11, 7.84426e-12, 5.6887e-12, 5.10919e-12, 5.08172e-12, 5.26003e-12, 
1.52909e-07, 1.56197e-07, 9.30605e-08, 5.32976e-08, 2.94369e-08, 1.57152e-08, 8.13798e-09, 4.08686e-09, 1.98473e-09, 9.29397e-10, 4.18901e-10, 1.81865e-10, 7.6641e-11, 3.21959e-11, 1.44523e-11, 7.83805e-12, 5.60599e-12, 4.99881e-12, 4.9605e-12, 5.13455e-12, 
1.57178e-07, 1.60558e-07, 9.56008e-08, 5.47302e-08, 3.02321e-08, 1.61467e-08, 8.36483e-09, 4.20198e-09, 2.041e-09, 9.55832e-10, 4.30781e-10, 1.86935e-10, 7.86647e-11, 3.29198e-11, 1.46492e-11, 7.8321e-12, 5.52544e-12, 4.89124e-12, 4.84229e-12, 5.0122e-12, 
1.61313e-07, 1.64782e-07, 9.80633e-08, 5.61195e-08, 3.10035e-08, 1.65654e-08, 8.58508e-09, 4.31379e-09, 2.09569e-09, 9.81527e-10, 4.42334e-10, 1.91869e-10, 8.06344e-11, 3.36248e-11, 1.48412e-11, 7.82639e-12, 5.44699e-12, 4.7864e-12, 4.72703e-12, 4.89289e-12, 
1.65316e-07, 1.68872e-07, 1.0045e-07, 5.74669e-08, 3.17519e-08, 1.69717e-08, 8.7989e-09, 4.42239e-09, 2.14882e-09, 1.00651e-09, 4.53569e-10, 1.96669e-10, 8.25518e-11, 3.43114e-11, 1.50282e-11, 7.82093e-12, 5.3706e-12, 4.68422e-12, 4.61463e-12, 4.77655e-12, 
1.69194e-07, 1.72832e-07, 1.02764e-07, 5.87735e-08, 3.24779e-08, 1.7366e-08, 9.0065e-09, 4.52786e-09, 2.20044e-09, 1.03079e-09, 4.64495e-10, 2.01338e-10, 8.44181e-11, 3.49801e-11, 1.52106e-11, 7.8157e-12, 5.29619e-12, 4.58464e-12, 4.50504e-12, 4.66311e-12, 
1.72948e-07, 1.76668e-07, 1.05008e-07, 6.00406e-08, 3.31822e-08, 1.77487e-08, 9.20805e-09, 4.63031e-09, 2.25061e-09, 1.05439e-09, 4.75121e-10, 2.05882e-10, 8.62347e-11, 3.56313e-11, 1.53883e-11, 7.81069e-12, 5.22374e-12, 4.48758e-12, 4.39818e-12, 4.5525e-12, 
1.76584e-07, 1.80382e-07, 1.07182e-07, 6.12693e-08, 3.38655e-08, 1.81201e-08, 9.40372e-09, 4.72981e-09, 2.29935e-09, 1.07733e-09, 4.85454e-10, 2.10302e-10, 8.8003e-11, 3.62656e-11, 1.55616e-11, 7.8059e-12, 5.15317e-12, 4.39299e-12, 4.29397e-12, 4.44464e-12, 
1.80105e-07, 1.83979e-07, 1.0929e-07, 6.2461e-08, 3.45284e-08, 1.84806e-08, 9.5937e-09, 4.82645e-09, 2.34671e-09, 1.09963e-09, 4.95502e-10, 2.14602e-10, 8.97242e-11, 3.68833e-11, 1.57304e-11, 7.80131e-12, 5.08445e-12, 4.3008e-12, 4.19237e-12, 4.33947e-12, 
1.83515e-07, 1.87462e-07, 1.11334e-07, 6.36166e-08, 3.51714e-08, 1.88304e-08, 9.77813e-09, 4.92031e-09, 2.39272e-09, 1.12131e-09, 5.05275e-10, 2.18786e-10, 9.13995e-11, 3.74849e-11, 1.5895e-11, 7.79693e-12, 5.01752e-12, 4.21096e-12, 4.09329e-12, 4.23692e-12, 
1.86817e-07, 1.90835e-07, 1.13314e-07, 6.47372e-08, 3.57953e-08, 1.91699e-08, 9.9572e-09, 5.01147e-09, 2.43743e-09, 1.14238e-09, 5.14778e-10, 2.22857e-10, 9.30303e-11, 3.80707e-11, 1.60554e-11, 7.79273e-12, 4.95234e-12, 4.12339e-12, 3.99668e-12, 4.13692e-12, 
1.90015e-07, 1.94101e-07, 1.15235e-07, 6.5824e-08, 3.64005e-08, 1.94993e-08, 1.0131e-08, 5.10001e-09, 2.48088e-09, 1.16287e-09, 5.2402e-10, 2.26818e-10, 9.46176e-11, 3.86413e-11, 1.62118e-11, 7.78872e-12, 4.88887e-12, 4.03805e-12, 3.90248e-12, 4.03941e-12, 
